Product Name,Price,Rating,Number of Reviews
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Stone Blue",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Stone Blue",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Chilled Lilac",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Cypress Green",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, White",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$14900,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$399.00,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$39900,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$399.00,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$399.00,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$399.00,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$39900,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Black",$39900,N/A,N/A
"Bose SoundLink Max Waterproof Wireless Bluetooth Portable Speaker, Blue Dusk",$399.99,N/A,N/A
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
"Bose SoundLink Flex Wireless Waterproof Portable Bluetooth Speaker, Black",$149.00,,"2,323 reviews"
